12 Strong (2018)
12 Years a Slave (2013)
2 Fast 2 Furious (2003)
2001 A Space Odyssey (1968)
300 Rise of an Empire (2014)
6 Days (2017)
A Good Day to Die Hard (2013)
A Walk Among the Tombstones (2014)
After Earth (2013)
American Assassin (2017)
American Ultra (2015)
Angels & Demons (2009)
Ant-Man (2015)
Ant-Man And The Wasp (2018)
Arlington Road (1999)
Assassin's Creed (2016)
Atomic Blonde (2017)
Austin Powers in Goldmember (2002)
Austin Powers International Man of Mystery (1997)
Austin Powers The Spy Who Shagged Me (1999)
Avatar (2009)
Avengers Age of Ultron (2015)
Avengers Infinity War (2018)
Batman Begins (2005)
Batman v Superman Dawn of Justice (2016)
Black Hawk Down (2001)
Black Panther (2018)
BlacKkKlansman (2018)
Blade Runner 2049 (2017)
Braveheart (1995)
Bridge of Spies (2015)
Bright (2017)
Bruce Almighty (2003)
Captain America Civil War (2016)
Captain America The First Avenger (2011)
Captain America The Winter Soldier (2014)
Cars (2006)
Cars 2 (2011)
Chicken Run (2000)
Christmas with the Kranks (2004)
Clash of the Titans (2010)
Commitment (2013)
Crocodile Dundee (1986)
Crocodile Dundee II (1988)
"Crouching Tiger, Hidden Dragon (2000)"
Dawn of the Planet of the Apes (2014)
Deadpool 2 (2018)
Death Wish (1974)
Death Wish (2018)
Death Wish 2 (1982)
Death Wish 3 (1985)
Defiance (2008)
Die Hard (1988)
Die Hard 2 (1990)
Die Hard 4 (2007)
Die Hard With a Vengeance (1995)
Django Unchained (2012)
Doctor Strange (2016)
Dunkirk (2017)
Eagle Eye (2008)
Edge of Tomorrow (2014)
Elf (2003)
Enemy of the State (1998)
Evan Almighty (2007)
Fast & Furious (2009)
Fast & Furious 6 (2013)
Fast Five (2011)
Furious 7 (2015)
Fury (2014)
Get Hard (2015)
Ghost in the Shell (2017)
Ghostbusters (1984)
Ghostbusters II (1989)
Gladiator (2000)
Godzilla (2014)
Gone Girl (2014)
Guardians of the Galaxy (2014)
Hacksaw Ridge (2016)
Hancock (2008)
Happy Gilmore (1996)
Harry Potter and the Chamber of Secrets (2002)
Harry Potter and the Deathly Hallows Part 1 (2010)
Harry Potter and the Deathly Hallows Part 2 (2011)
Harry Potter and the Goblet of Fire (2005)
Harry Potter and the Half-Blood Prince (2009)
Harry Potter and the Order of the Phoenix (2007)
Harry Potter and the Philosopher's Stone (2001)
Harry Potter and the Prisoner of Azkaban (2004)
Hellboy (2004)
Hellboy II The Golden Army (2008)
Homefront (2013)
Hot Fuzz (2007)
House of Flying Daggers (2004)
I Origins (2014)
"I, Robot (2004)"
Ice Age (2002)
Ice Age Continental Drift (2012)
Ice Age Dawn of the Dinosaurs (2009)
Ice Age The Meltdown (2006)
Inception (2010)
Independence Day (1996)
Indiana Jones and the Last Crusade (1989)
Indiana Jones and the Temple of Doom (1984)
Inglourious Bastards (2009)
Interstellar (2014)
Ip Man (2008)
Ip Man 2 (2010)
Iron Man (2008)
Iron Man 2 (2010)
Iron Man 3 (2013)
James Bond
Jaws (1975)
Jaws 2 (1978)
Jaws 3 (1983)
Jaws The Revenge (1987)
John Wick (2014)
John Wick (2014) (4K)
John Wick Chapter 2 (2017)
Jumper (2008)
Jurassic Park (1993)
Jurassic Park III (2001)
Jurassic World Fallen Kingdom (2018)
Kick-Ass (2010)
Kick-Ass 2 (2013)
King Kong (2005)
King Lear (2018)
Kingsman The Secret Service (2014)
Kung Fu Hustle (2004)
Kung Fury (2015)
Lara Croft Tomb Raider (2001)
Lara Croft Tomb Raider The Cradle of Life (2003)
Lethal Weapon (1987)
Lethal Weapon 2 (1989)
Lethal Weapon 3 (1992)
Lethal Weapon 4 (1998)
Limitless (2011)
Little Fockers (2010)
Lone Survivor (2013)
Looper (2012)
Lucy (2014)
Mad Max (1979)
Mad Max 2 The Road Warrior (1981)
Mad Max Beyond Thunderdome (1985)
Mad Max Fury Road (2015)
Max Payne (2008)
Meet the Fockers (2004)
Meet the Parents (2000)
Men in Black (1997)
Men in Black 3 (2012)
Men in Black II (2002)
Mission Impossible - Ghost Protocol (2011)
Mission Impossible (1996)
Mission Impossible II (2000)
Mission Impossible III (2006)
Monty Python and the Holy Grail (1975)
Mr. & Mrs. Smith (2005)
Mrs. Doubtfire (1993)
Munich (2005)
Mystery Men (1999)
National Treasure (2004)
Noah (2014)
Now You See Me (2013)
Outlaw King (2018)
Paddington (2014)
Pirates of the Caribbean At World's End (2007)
Pirates of the Caribbean Dead Man's Chest (2006)
Pirates of the Caribbean On Stranger Tides (2011)
Pirates of the Caribbean The Curse of the Black Pearl (2003)
Pulp Fiction (1994)
Push (2009)
Raiders of the Lost Ark (1981)
Rambo (2008)
Rambo First Blood (1982)
Rambo First Blood Part II (1985)
Rambo III (1988)
Rare Exports A Christmas Tale (2010)
Red Sparrow (2018)
Reservoir Dogs (1992)
Riddick (2013)
Rise of the Planet of the Apes (2011)
RoboCop (1987)
Rocky (1976)
Rocky Balboa (2006)
Rocky II (1979)
Rocky III (1982)
Rocky IV (1985)
Rocky V (1990)
Rogue One A Star Wars Story (2016)
Rush Hour (1998)
Rush Hour 2 (2001)
Rush Hour 3 (2007)
Salt (2010)
Saving Private Ryan (1998)
Schindler's List (1993)
School of Rock (2003)
Seventh Son (2015)
Shaun of the Dead (2004)
Shooter (2007)
Slumdog Millionaire (2008)
Source Code (2011)
Spider-Man (2002)
Spider-Man 2 (2004)
Spider-Man 3 (2007)
Star Wars Episode I - The Phantom Menace (1999)
Star Wars Episode II - Attack of the Clones (2002)
Star Wars Episode III - Revenge of the Sith (2005)
Star Wars Episode IV - A New Hope (1977)
Star Wars Episode V - The Empire Strikes Back (1980)
Star Wars Episode VI - Return of the Jedi (1983)
Star Wars Episode VII - The Force Awakens (2015)
Star Wars The Last Jedi (2017)
Stardust (2007)
Taken (2008)
Taken 2 (2012)
Taken 3 (2014)
Team America World Police (2004)
Terminator 2 Judgment Day (1991)
Terminator 3 Rise of the Machines (2003)
Terminator Salvation (2009)
The A-Team (2010)
The Amazing Spider-Man (2012)
The Amazing Spider-Man 2 (2014)
The Avengers (2012)
The Bourne Identity (2002)
The Bourne Legacy (2012)
The Bourne Supremacy (2004)
The Bourne Ultimatum (2007)
The Boy in the Striped Pajamas (2008)
The Chorus (Les Choristes) (2004)
The Chronicles of Riddick (2004)
The Da Vinci Code (2006)
The Dark Knight (2008)
The Dark Knight Rises (2012)
The Equalizer (2014)
The Equalizer 2 (2018)
The Expendables (2010)
The Expendables 2 (2012)
The Expendables 3 (2014)
The Fast and the Furious (2001)
The Fast and the Furious Tokyo Drift (2006)
The Girl Who Kicked the Hornet's Nest (2009)
The Girl Who Played with Fire (2009)
The Girl with the Dragon Tattoo (2009)
The Girl with the Dragon Tattoo (2011)
The Godfather (1972)
The Godfather Part II (1974)
The Godfather Part III (1990)
The Great Gatsby (2013)
The Hobbit An Unexpected Journey (2012)
The Hobbit The Battle of the Five Armies (2014)
The Hobbit The Desolation of Smaug (2013)
The Hunger Games (2012)
The Hunger Games Catching Fire (2013)
The Hunger Games Mockingjay Part 1 (2014)
The Hunter (2011)
The Hurt Locker (2008)
The Imitation Game (2014)
The Incredible Hulk (2008)
The Interview (2014)
The Italian Job (1969)
The Karate Kid (1984)
The Karate Kid (2010)
"The Karate Kid, Part II (1986)"
"The Karate Kid, Part III (1989)"
The King's Speech (2010)
The Last Survivors (2014)
The Legend Is Born Ip Man (2010)
The Lego Movie (2014)
The Lord of the Rings The Fellowship of the Ring (2001)
The Lord of the Rings The Return of the King (2003)
The Lord of the Rings The Two Towers (2002)
The Lost World Jurassic Park (1997)
The Matrix (1999)
The Matrix Reloaded (2003)
The Matrix Revolutions (2003)
The Monuments Men (2014)
The Mountain Between Us (2017)
The Mummy (1999)
The Mummy Returns (2001)
The Mummy Tomb of the Dragon Emperor (2008)
The Next Karate Kid (1994)
The Rock (1996)
The Simpsons Movie (2007)
The Terminator (1984)
The Wolverine (2013)
The World's End (2013)
Thor (2011)
Thor Ragnarok (2017)
Thor The Dark World (2013)
Tinker Tailor Soldier Spy (2011)
Tomb Raider (2018)
Top Gun (1986)
Transcendence (2014)
Transformers (2007)
Transformers Age of Extinction (2014)
Transformers Dark of the Moon (2011)
Transformers Revenge of the Fallen (2009)
Transporter (2002)
Transporter 2 (2005)
Transporter 3 (2008)
Tucker and Dale vs Evil (2010)
Unknown Soldier (2017)
Up (2009)
WALL-E (2008)
Wanted (2008)
Wild Card (2015)
Wonder Woman (2017)
World War Z (2013)
X-Men (2000)
X-Men Days of Future Past (2014)
X-Men First Class (2011)
X-Men Origins Wolverine (2009)
X-Men The Last Stand (2006)
X2 (2003)
xXx (2002)
xXx State of the Union (2005)
Zero Dark Thirty (2012)
Zombieland (2009)
